"bahnhof_index","lon","lat"
"1",7.7268745,51.9179015
"2",7.8668839,49.9861543
"3",8.3328309,50.1201412
"4",8.9569948,49.9579967
"5",8.9458805,49.9222536
"6",9.0019091,49.7388746
"7",8.9940038,49.7203434
"8",8.9737544,49.5675816
"9",8.61749,49.6807835
"10",8.6132972,49.7023105
"11",8.4506863,49.6886534
"12",8.6110515,49.7560649
"13",8.4737635,49.7818787
"14",8.4617953,49.6441767
"15",8.4585923,49.6455573
"16",8.4585923,49.6455573
"17",8.630857,49.872826
"18",8.65382,49.89186
"19",8.6735504,49.8748643
"20",8.6367802,49.8548693
"21",8.62653,49.8147193
"22",8.6789104,49.9056855
"23",8.6836459,49.8608464
"24",8.8413716,49.9037255
"25",8.6612502,50.0215501
"26",8.7097028,49.9982095
"27",8.731923,49.9945074
"28",8.7498262,49.9813923
"29",8.6882752,50.0159014
"30",8.7027036,50.006257
"31",8.1220057,50.0276206
"32",8.7664804,50.0995818
"33",8.9901028,49.6566701
"34",8.9898077,49.6687354
"35",9.8930649,48.3255719
"36",7.9681882,49.9855165
"37",8.4885231,49.7574082
"38",8.4915862,49.9163519
"39",8.4943578,49.9122266
"40",8.4934645,49.8773987
"41",8.4766354,49.714197
"42",8.9242039,49.8654155
"43",8.9392678,49.893691
"44",8.9412324,49.8331661
"45",8.60546,49.7395
"46",8.9406651,50.07636
"47",8.1232329,50.0468848
"48",8.6335872,49.6415824
"49",8.9156646,49.9368136
"50",9.0654644,49.5558753
"51",9.0682805,49.5659224
"52",8.9859203,49.7719365
"53",8.9888566,49.794524
"54",8.9838444,49.8078967
"55",8.4093092,49.6593973
"56",8.2576939,50.2159735
"57",8.5132019,49.9002218
"58",8.4781688,49.5980926
"59",8.657136,49.9934957
"60",7.81295,50.04037
"61",7.7830678,50.0530128
"62",8.5659775,49.658889
"63",8.9702845,50.016227
"64",8.7429481,49.9367079
"65",9.001298,49.684441
"66",8.565594,49.9788431
"67",8.700267,49.8327185
"68",7.6261347,51.9606649
"69",8.45015,49.94216
"70",8.313343,50.1605697
"71",8.1595261,50.0368786
"72",8.7432624,49.8319089
"73",8.0196413,50.0022691
"74",8.9100748,49.8304408
"75",8.6109567,49.8075166
"76",8.8360109,49.8297444
"77",8.4976246,49.6477702
"78",8.4902383,49.8339742
"79",8.493798,49.8541697
"80",8.8293606,49.9736371
"81",8.798511,49.974819
"82",7.9151382,49.9770628
"83",8.9677407,50.0415754
"84",8.4686308,49.8074541
"85",8.5805596,50.001259
"86",8.5793025,49.9095453
"87",8.2438908,50.0702931
"88",8.2363566,50.0487146
"89",8.296304,50.0547052
"90",8.3253951,50.0824186
"91",8.1945125,50.0474232
"92",8.2492617,50.2461555
"93",8.6058023,50.0364738
"94",8.60917,49.72557
"95",8.6197992,50.2205848
"96",8.5032649,50.1435698
"97",8.7420947,50.188071
"98",8.7347631,50.1779993
"99",8.7900345,50.3008299
"100",8.6543421,49.9137241
"101",8.6476965,49.9308561
"102",8.7850106,50.0083378
"103",8.7887922,50.017716
"104",8.78864,50.0292669
"105",8.7570076,50.2063613
"106",8.4565935,50.0392163
"107",8.654022,49.9691464
"108",8.387814,50.1398988
"109",8.3639296,50.1405753
"110",8.6499347,49.9511038
"111",8.564631,50.1422764
"112",8.5773636,50.1331055
"113",8.43131,50.0171474
"114",8.5717145,50.0506987
"115",8.5937497,50.056569
"116",8.6434105,50.1160048
"117",8.6335,50.06796
"118",8.5717145,50.0506987
"119",8.6450185,50.1035524
"120",8.6781984,50.1135471
"121",8.6648768,50.1073051
"122",8.6869098,50.1146036
"123",8.6946997,50.1029461
"124",8.693432,50.101538
"125",8.638426,50.0809148
"126",8.7083992,50.1125122
"127",8.6960967,50.1132207
"128",8.6687046,50.099668
"129",8.6859247,50.0998498
"130",8.670141,50.1139831
"131",8.640123,50.1192434
"132",8.6975839,50.173046
"133",8.654936,50.1597557
"134",8.6759721,50.1705257
"135",8.6059435,50.0938472
"136",8.5463464,50.1022142
"137",8.5138364,50.0845573
"138",8.6699597,50.0838885
"139",8.7674777,50.1338677
"140",8.5674513,50.101846
"141",8.6076463,50.1247576
"142",8.5166117,50.0810591
"143",8.5567289,50.1156415
"144",8.5171665,50.0810219
"145",8.6443624,50.2522697
"146",8.7535986,50.233336
"147",8.9435764,50.1083372
"148",8.9803458,50.0812687
"149",8.9291604,50.1219294
"150",8.9338088,50.1001698
"151",8.92628,50.1394
"152",8.9027123,50.1300387
"153",8.8909012,50.129931
"154",8.488248,50.0673319
"155",8.8025911,50.0586514
"156",8.3494307,50.0047031
"157",8.4426102,50.0848211
"158",8.5294669,50.0627006
"159",8.4755458,50.082461
"160",8.5161949,50.1800468
"161",8.5265018,50.1726527
"162",8.6561426,50.0030406
"163",8.4231866,50.1148631
"164",8.8360556,50.1421736
"165",8.8088007,50.152941
"166",8.3578552,49.9927125
"167",8.3220536,49.9930544
"168",8.2817965,50.0074555
"169",8.8376639,50.1188525
"170",8.856471,50.1200561
"171",8.6654858,50.0530902
"172",8.7675311,50.2801078
"173",8.5466309,50.1548756
"174",8.3881459,50.145296
"175",8.8527655,50.0719638
"176",8.58771,50.1989215
"177",8.5845833,50.1815709
"178",8.5870213,50.1739178
"179",8.749506,50.1059278
"180",8.7605006,50.0995779
"181",8.7857176,50.0995345
"182",8.7602801,50.1062601
"183",8.8082005,50.090447
"184",8.7398646,50.1052335
"185",8.8207826,50.08358
"186",8.7567541,50.2510938
"187",8.4550351,50.011187
"188",8.8848412,50.0103718
"189",8.8757759,50.0401736
"190",8.8791761,50.0259026
"191",8.8733756,49.9959403
"192",8.848234,49.9892788
"193",8.8780669,50.0527924
"194",8.4131946,49.9917404
"195",8.4216976,49.9887497
